,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
0,GME,86,0.056,0.779,0.165,0.219
1,AMC,58,0.035,0.833,0.132,0.212
2,SPY,49,0.081,0.745,0.173,0.149
3,NIO,38,0.078,0.826,0.096,0.037
4,TSLA,37,0.027,0.801,0.172,0.316
5,DD,29,0.047,0.784,0.17,0.17
6,HIMX,21,0.077,0.732,0.191,0.21
7,CLOV,17,0.082,0.734,0.184,-0.004
8,HOOD,14,0.147,0.772,0.082,-0.024
9,ALL,13,0.08,0.731,0.189,0.296
10,WISH,13,0.081,0.638,0.282,0.271
11,ON,12,0.022,0.84,0.139,0.215
12,BFRI,11,0.023,0.889,0.087,0.112
13,NVAX,11,0.1,0.834,0.066,-0.002
14,BABA,11,0.159,0.83,0.011,-0.177
15,NEW,11,0.061,0.675,0.264,0.515
16,DIDI,10,0.102,0.802,0.096,0.133
17,ING,10,0.215,0.752,0.033,-0.169
18,RY,10,0.0,0.869,0.131,0.325
19,DM,9,0.083,0.739,0.178,0.215
20,FOR,9,0.161,0.803,0.036,-0.197
21,TLRY,9,0.15,0.669,0.181,0.035
22,AMD,9,0.076,0.773,0.151,0.198
23,AI,9,0.028,0.87,0.103,0.217
24,NG,8,0.011,0.947,0.042,0.029
25,IS,8,0.139,0.822,0.039,-0.157
26,LAZR,8,0.042,0.77,0.188,0.23
27,FB,7,0.11,0.784,0.106,0.098
28,BBIO,7,0.056,0.803,0.141,0.143
29,RH,7,0.143,0.767,0.09,0.095
30,DKNG,7,0.075,0.649,0.276,0.242
31,BIRD,7,0.264,0.495,0.241,-0.003
32,CTRM,7,0.014,0.901,0.085,0.324
33,UP,6,0.099,0.901,0.0,-0.091
34,NS,6,0.09,0.663,0.247,0.424
35,ED,6,0.062,0.916,0.022,-0.1
36,IT,6,0.277,0.625,0.099,-0.292
37,ATVI,6,0.0,0.488,0.512,0.73
38,BB,6,0.0,0.771,0.229,0.464
39,REV,6,0.155,0.723,0.122,-0.008
40,OCGN,6,0.053,0.801,0.146,0.272
41,DOX,6,0.0,0.92,0.08,0.095
42,SNDL,5,0.052,0.872,0.075,0.137
43,NOK,5,0.0,0.613,0.387,0.709
44,PLTR,5,0.017,0.769,0.214,0.156
45,XXII,5,0.0,0.754,0.246,0.305
46,WE,5,0.0,0.849,0.151,0.229
47,SOFI,5,0.0,0.879,0.121,0.16
48,CEI,5,0.039,0.823,0.138,0.428
49,AAPL,5,0.0,0.762,0.238,0.294
50,CRSR,5,0.097,0.769,0.134,0.061
51,RE,5,0.145,0.527,0.328,0.092
52,ASTR,5,0.062,0.752,0.186,0.257
53,QQQ,5,0.299,0.701,0.0,-0.45
54,SKM,5,0.048,0.376,0.576,0.694
55,ZIM,4,0.178,0.637,0.184,0.15
56,MRNA,4,0.064,0.748,0.188,0.17
57,KULR,4,0.0,1.0,0.0,0.0
58,QNRX,4,0.076,0.745,0.178,0.101
59,AFRM,4,0.0,0.927,0.073,0.128
60,BIG,4,0.033,0.669,0.298,0.503
61,SAVA,4,0.0,0.72,0.28,0.303
62,FCEL,4,0.0,0.706,0.294,0.587
63,ARQQ,4,0.0,1.0,0.0,0.0
64,OUT,4,0.033,0.846,0.121,0.135
65,TA,4,0.09,0.909,0.0,-0.132
66,VLNS,4,0.0,0.684,0.316,0.439
67,GM,4,0.171,0.714,0.115,0.194
68,PT,4,0.188,0.596,0.216,0.112
69,JAN,4,0.0,0.677,0.323,0.485
70,CSTR,4,0.0,0.952,0.049,0.085
71,SP,4,0.082,0.895,0.024,-0.259
72,IRS,4,0.092,0.882,0.026,-0.114
73,AMRS,4,0.0,0.917,0.083,0.09
74,RELI,4,0.031,0.858,0.111,0.128
75,AEO,4,0.064,0.853,0.083,0.066
76,FREE,4,0.0,0.709,0.291,0.622
77,RFP,4,0.0,1.0,0.0,0.0
78,VORB,4,0.018,0.97,0.012,0.006
79,LFG,4,0.087,0.864,0.049,0.018
80,RCL,4,0.052,0.948,0.0,-0.169
81,NES,4,0.0,0.891,0.109,0.118
82,GNUS,4,0.041,0.847,0.112,0.298
83,SEDG,3,0.0,1.0,0.0,0.0
84,TD,3,0.068,0.831,0.101,0.186
85,USA,3,0.0,0.779,0.221,0.469
86,GOEV,3,0.0,0.678,0.322,0.374
87,ALLK,3,0.0,0.624,0.376,0.558
88,UK,3,0.0,1.0,0.0,0.0
89,PHIL,3,0.0,0.612,0.388,0.936
90,GO,3,0.085,0.859,0.056,-0.043
91,NOW,3,0.098,0.845,0.057,0.05
92,AL,3,0.209,0.711,0.08,-0.212
93,PENN,3,0.0,1.0,0.0,0.0
94,IDEX,3,0.0,0.62,0.38,0.472
95,WB,3,0.0,0.924,0.076,0.239
96,AG,3,0.0,0.913,0.087,0.182
97,OG,3,0.0,0.639,0.361,0.36
98,UMC,3,0.0,0.878,0.122,0.321
99,ARE,3,0.088,0.743,0.169,0.071
100,TTCF,3,0.04,0.935,0.025,0.09
101,GOOD,3,0.101,0.662,0.237,0.246
102,NVDA,3,0.0,0.662,0.338,0.338
103,EVTL,3,0.054,0.854,0.092,-0.011
104,RBLX,3,0.0,0.66,0.34,0.707
105,SRNE,3,0.0,0.907,0.093,0.16
106,XELA,3,0.071,0.81,0.119,0.398
107,MMNFF,3,0.0,0.815,0.185,0.239
108,ST,3,0.055,0.532,0.413,0.569
109,HUGE,3,0.042,0.691,0.267,0.326
110,BYND,3,0.026,0.939,0.034,-0.008
111,WU,3,0.0,1.0,0.0,0.0
112,QS,3,0.026,0.939,0.034,-0.008
113,SAM,3,0.026,0.939,0.034,-0.008
114,SQ,3,0.026,0.939,0.034,-0.008
115,BBIG,3,0.0,0.92,0.08,0.161
116,PTON,3,0.114,0.886,0.0,-0.212
117,CPA,3,0.0,0.878,0.122,0.147
118,RIDE,3,0.081,0.592,0.327,0.517
119,ACN,3,0.0,0.809,0.191,0.134
120,RSI,3,0.0,0.745,0.255,0.589
121,UWMC,3,0.0,1.0,0.0,0.0
122,CIOXY,3,0.0,1.0,0.0,0.0
123,CCL,3,0.077,0.768,0.155,0.302
124,SLDP,3,0.0,0.453,0.547,0.508
125,AMRN,3,0.117,0.726,0.156,0.178
126,ARVL,3,0.089,0.911,0.0,-0.099
127,OC,2,0.0,1.0,0.0,0.0
128,COIN,2,0.0,1.0,0.0,0.0
129,IBRX,2,0.085,0.753,0.163,0.211
130,GRAB,2,0.0,1.0,0.0,0.0
131,PSFE,2,0.0,0.305,0.695,0.77
132,SO,2,0.0,1.0,0.0,0.0
133,PFE,2,0.25,0.75,0.0,-0.229
134,REAL,2,0.062,0.919,0.018,-0.394
135,HLTH,2,0.0,0.842,0.158,0.201
136,ML,2,0.0,1.0,0.0,0.0
137,NGS,2,0.0,1.0,0.0,0.0
138,NKLA,2,0.3,0.422,0.278,0.221
139,INTC,2,0.0,0.706,0.294,0.543
140,NYC,2,0.172,0.828,0.0,-0.392
141,ARC,2,0.0,0.473,0.527,0.352
142,DTE,2,0.25,0.75,0.0,-0.359
143,TBLT,2,0.0,0.861,0.139,0.201
144,OPK,2,0.0,0.722,0.278,0.359
145,PLAY,2,0.0,0.536,0.464,0.677
146,BKKT,2,0.0,1.0,0.0,0.0
147,ZOM,2,0.0,1.0,0.0,0.0
148,ME,2,0.137,0.746,0.117,-0.08
149,GORO,2,0.296,0.704,0.0,-0.273
150,RS,2,0.0,0.758,0.242,0.493
151,ECOR,2,0.241,0.758,0.0,-0.427
152,VTOL,2,0.25,0.638,0.112,0.03
153,NOG,2,0.0,1.0,0.0,0.0
154,YJ,2,0.267,0.733,0.0,-0.497
155,ORMP,2,0.2,0.734,0.067,-0.306
156,AMAT,2,0.22,0.571,0.209,-0.074
157,PLAN,2,0.0,1.0,0.0,0.0
158,FTK,2,0.0,1.0,0.0,0.0
159,GRIL,2,0.263,0.29,0.448,0.507
160,MU,2,0.0,0.722,0.278,0.359
161,SI,2,0.0,1.0,0.0,0.0
162,ALLY,2,0.121,0.816,0.063,-0.578
163,HT,2,0.0,1.0,0.0,0.0
164,DRS,2,0.0,0.655,0.345,0.535
165,SPCE,2,0.04,0.909,0.051,-0.012
166,NSYS,2,0.0,1.0,0.0,0.0
167,SNAP,2,0.107,0.893,0.0,-0.229
168,CING,2,0.0,1.0,0.0,0.0
169,RIG,2,0.101,0.671,0.228,0.176
170,RIOT,2,0.138,0.833,0.029,-0.435
171,GMGI,2,0.0,0.688,0.312,0.359
172,POOL,2,0.339,0.661,0.0,-0.625
173,HON,2,0.058,0.504,0.438,0.668
174,NNDM,2,0.0,0.818,0.182,0.306
175,OR,2,0.129,0.826,0.045,-0.325
176,BOXL,2,0.0,1.0,0.0,0.0
177,XERS,2,0.0,0.748,0.252,0.422
178,SFT,2,0.0,0.584,0.416,0.359
179,SKLZ,2,0.0,1.0,0.0,0.0
180,STER,2,0.0,0.845,0.155,0.27
181,AMZN,2,0.251,0.749,0.0,-0.361
182,RNA,2,0.0,1.0,0.0,0.0
183,GET,2,0.0,1.0,0.0,0.0
184,OI,2,0.033,0.706,0.262,0.658
185,YOU,2,0.0,0.632,0.368,0.21
186,DOCN,2,0.067,0.875,0.058,-0.191
187,AXSM,2,0.0,1.0,0.0,0.0
188,AVXL,2,0.0,1.0,0.0,0.0
189,PLUG,2,0.117,0.517,0.366,0.74
190,OM,2,0.229,0.772,0.0,-0.318
191,ES,2,0.0,1.0,0.0,0.0
192,NTRB,2,0.092,0.716,0.193,0.322
193,UONE,2,0.174,0.826,0.0,-0.273
194,DUO,2,0.222,0.778,0.0,-0.17
195,XSPA,1,0.0,1.0,0.0,0.0
196,YPF,1,0.0,1.0,0.0,0.0
197,SLM,1,0.369,0.631,0.0,-0.625
198,ANTE,1,0.0,0.704,0.296,0.273
199,IAA,1,0.0,0.667,0.333,0.67
200,WOW,1,0.0,0.302,0.698,0.911
201,DAO,1,0.0,1.0,0.0,0.0
202,TY,1,0.0,0.556,0.444,0.75
203,EVFM,1,0.0,1.0,0.0,0.0
204,CROX,1,0.0,1.0,0.0,0.0
205,ARK,1,0.714,0.286,0.0,-0.361
206,BCH,1,0.0,1.0,0.0,0.0
207,ALDX,1,0.0,1.0,0.0,0.0
208,MELI,1,0.0,1.0,0.0,0.0
209,PYR,1,0.296,0.704,0.0,-0.52
210,BE,1,0.0,1.0,0.0,0.0
211,ASTI,1,0.0,0.828,0.172,0.361
212,KNBE,1,0.388,0.612,0.0,-0.226
213,CHWY,1,0.0,1.0,0.0,0.0
214,PYPL,1,0.068,0.932,0.0,-0.226
215,LRCX,1,0.0,0.676,0.324,0.34
216,CODX,1,0.0,0.676,0.324,0.34
217,KSS,1,0.0,0.702,0.298,0.178
218,CASH,1,0.206,0.741,0.052,-0.839
219,FAMI,1,0.206,0.741,0.052,-0.839
220,SCYX,1,0.5,0.5,0.0,-0.459
221,KODK,1,0.0,1.0,0.0,0.0
222,TSM,1,0.0,0.414,0.586,0.428
223,JPM,1,0.187,0.515,0.298,0.408
224,LMAO,1,0.187,0.515,0.298,0.408
225,CAN,1,0.0,1.0,0.0,0.0
226,LTRY,1,0.0,0.58,0.42,0.44
227,UGI,1,0.0,1.0,0.0,0.0
