,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
0,GME,75,0.085,0.745,0.170,0.140
1,FB,67,0.125,0.709,0.167,0.067
2,PTON,57,0.176,0.715,0.109,-0.077
3,AMC,45,0.107,0.763,0.129,0.059
4,SPY,40,0.146,0.726,0.127,-0.037
5,AFRM,31,0.197,0.717,0.086,-0.050
6,DD,25,0.068,0.829,0.103,0.075
7,SNAP,23,0.171,0.658,0.171,0.068
8,AMZN,22,0.068,0.686,0.247,0.271
9,TSLA,17,0.029,0.806,0.165,0.163
10,TWTR,16,0.029,0.921,0.051,0.030
11,DWAC,15,0.030,0.798,0.171,0.130
12,AMD,13,0.037,0.773,0.190,0.113
13,ON,12,0.077,0.708,0.216,0.211
14,GOOGL,11,0.041,0.743,0.216,0.179
15,DIS,11,0.134,0.683,0.183,0.063
16,YOU,10,0.031,0.749,0.220,0.317
17,SNDL,10,0.000,0.785,0.215,0.279
18,NEXT,9,0.145,0.708,0.146,0.216
19,ALL,9,0.102,0.763,0.135,0.027
20,SENS,9,0.079,0.687,0.234,0.198
21,IT,9,0.113,0.617,0.270,0.162
22,CFVI,9,0.015,0.598,0.387,0.647
23,SI,9,0.053,0.882,0.065,0.165
24,PYPL,8,0.000,0.821,0.179,0.289
25,NVDA,8,0.000,0.693,0.307,0.438
26,SOFI,8,0.108,0.579,0.313,0.267
27,NS,8,0.077,0.765,0.157,0.135
28,SAVA,8,0.202,0.682,0.117,-0.105
29,FREE,7,0.033,0.394,0.573,0.678
30,IS,7,0.000,0.874,0.126,0.183
31,SPOT,7,0.191,0.537,0.272,0.158
32,ES,7,0.000,0.640,0.360,0.402
33,CMG,7,0.221,0.766,0.013,-0.441
34,CHGG,7,0.037,0.756,0.206,0.289
35,BABA,7,0.018,0.741,0.240,0.416
36,ME,7,0.007,0.919,0.075,0.223
37,CRSR,7,0.113,0.872,0.015,-0.041
38,GTE,6,0.000,0.852,0.148,0.346
39,NFLX,6,0.030,0.625,0.345,0.495
40,NIO,6,0.155,0.725,0.119,-0.047
41,PFE,6,0.439,0.561,0.000,-0.596
42,BRCC,6,0.000,1.000,0.000,0.000
43,RDBX,5,0.132,0.552,0.315,0.186
