,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
0,GME,174,0.081,0.78,0.138,0.097
1,AMC,94,0.078,0.791,0.13,0.101
2,NFLX,48,0.1,0.746,0.153,0.032
3,DD,44,0.049,0.845,0.105,0.108
4,SPY,44,0.087,0.817,0.096,0.017
5,TSLA,37,0.1,0.801,0.099,0.042
6,ATVI,35,0.141,0.662,0.198,0.122
7,BBIG,34,0.036,0.831,0.134,0.156
8,SOFI,33,0.063,0.779,0.159,0.135
9,PTON,33,0.155,0.758,0.087,-0.154
10,PLTR,26,0.097,0.838,0.065,-0.04
11,MSFT,21,0.114,0.744,0.141,-0.006
12,HOOD,21,0.13,0.775,0.095,-0.067
13,WISH,15,0.06,0.762,0.177,0.264
14,ON,14,0.122,0.807,0.071,-0.018
15,BIG,13,0.1,0.86,0.039,-0.136
16,DWAC,13,0.036,0.76,0.204,0.354
17,SPCE,13,0.107,0.709,0.185,0.173
18,AG,13,0.142,0.747,0.111,0.069
19,NG,12,0.126,0.648,0.226,0.122
20,IS,12,0.077,0.865,0.058,-0.07
21,TA,11,0.023,0.897,0.08,0.094
22,YOU,11,0.185,0.638,0.176,-0.106
23,FOR,11,0.121,0.611,0.269,0.243
24,QQQ,11,0.241,0.677,0.082,-0.323
25,PETZ,10,0.118,0.735,0.147,0.32
26,ME,9,0.082,0.825,0.093,-0.082
27,BB,9,0.049,0.849,0.102,0.039
28,NVAX,9,0.019,0.794,0.187,0.205
29,UP,9,0.019,0.938,0.043,0.068
30,DKNG,9,0.105,0.754,0.141,0.017
31,TS,9,0.0,1.0,0.0,0.0
32,QS,9,0.081,0.808,0.111,0.116
33,DTE,9,0.106,0.613,0.281,0.259
34,CENN,8,0.007,0.905,0.088,0.236
35,FREE,8,0.131,0.537,0.332,0.451
36,CLOV,8,0.043,0.866,0.092,0.051
37,LFG,8,0.029,0.849,0.122,0.237
38,SNDL,8,0.094,0.726,0.18,0.17
39,PHIL,8,0.0,0.798,0.202,0.898
40,TOP,7,0.042,0.858,0.1,0.047
41,RBLX,7,0.054,0.813,0.134,0.062
42,MRNA,7,0.118,0.768,0.114,-0.053
43,NVDA,6,0.076,0.672,0.253,0.184
44,RS,6,0.054,0.88,0.065,0.052
45,ARE,6,0.134,0.717,0.149,-0.074
46,DRS,6,0.088,0.712,0.2,0.234
47,AAPL,6,0.124,0.719,0.157,-0.178
48,ING,6,0.0,1.0,0.0,0.0
49,IT,6,0.132,0.774,0.094,-0.217
50,RH,5,0.193,0.798,0.009,-0.577
51,GO,5,0.0,0.788,0.212,0.334
52,BLE,5,0.037,0.772,0.191,0.15
53,ED,5,0.17,0.608,0.222,-0.037
54,BABA,5,0.217,0.637,0.147,-0.102
55,DIS,5,0.225,0.521,0.255,0.07
56,ALL,5,0.056,0.677,0.267,0.282
57,BAC,5,0.088,0.602,0.309,0.142
58,ONE,5,0.123,0.804,0.073,-0.255
59,RSI,5,0.056,0.805,0.139,0.376
60,AMD,5,0.127,0.784,0.089,-0.102
61,AMZN,5,0.018,0.767,0.215,0.385
