,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
0,GME,112,0.057,0.8,0.143,0.19
1,AMC,107,0.087,0.778,0.136,0.074
2,TSLA,55,0.128,0.72,0.151,0.05
3,SPY,43,0.064,0.75,0.186,0.175
4,DD,36,0.056,0.833,0.111,0.164
5,NIO,31,0.051,0.895,0.054,0.032
6,JP,23,0.038,0.761,0.201,0.308
7,OG,22,0.059,0.781,0.159,0.248
8,ON,21,0.046,0.815,0.139,0.178
9,NG,18,0.09,0.803,0.108,0.053
10,AAPL,17,0.031,0.755,0.213,0.358
11,WISH,17,0.098,0.657,0.244,0.227
12,BFRI,16,0.17,0.726,0.103,-0.093
13,PLTR,14,0.099,0.742,0.159,0.083
14,IT,13,0.077,0.731,0.191,0.234
15,UWMC,13,0.144,0.703,0.153,0.073
16,IS,13,0.095,0.733,0.171,0.182
17,PT,12,0.194,0.716,0.089,-0.114
18,JPM,12,0.146,0.813,0.041,-0.243
19,SDC,12,0.501,0.396,0.104,-0.306
20,NVDA,11,0.01,0.737,0.252,0.296
21,FOR,11,0.139,0.711,0.15,0.208
22,QQQ,10,0.183,0.699,0.118,-0.232
23,VIR,9,0.0,0.758,0.242,0.41
24,GO,9,0.0,0.96,0.04,0.053
25,BB,9,0.01,0.757,0.233,0.415
26,NOW,9,0.017,0.602,0.381,0.657
27,MMTLP,9,0.17,0.803,0.027,-0.397
28,ED,9,0.157,0.7,0.143,0.147
29,ANY,9,0.067,0.758,0.175,0.186
30,TA,9,0.0,0.949,0.051,0.091
31,DKNG,9,0.009,0.864,0.128,0.19
32,PFE,9,0.0,0.724,0.276,0.447
33,UP,8,0.021,0.922,0.057,0.042
34,LOGI,8,0.319,0.593,0.088,-0.473
35,ADBE,8,0.366,0.527,0.107,-0.368
36,PTPI,8,0.115,0.836,0.05,0.089
37,NOK,8,0.009,0.786,0.205,0.35
38,LCID,7,0.021,0.803,0.176,0.238
39,ROKU,7,0.0,0.828,0.172,0.33
40,TLRY,7,0.08,0.649,0.271,0.39
41,MVIS,7,0.1,0.73,0.17,0.169
42,FDX,7,0.169,0.571,0.261,0.061
43,AI,7,0.167,0.675,0.158,-0.009
44,HOOD,7,0.25,0.57,0.18,-0.044
45,FREE,7,0.0,0.39,0.61,0.674
46,ALL,7,0.07,0.671,0.259,0.257
47,STEM,7,0.018,0.968,0.014,-0.018
48,CRTX,6,0.129,0.597,0.274,0.287
49,COIN,6,0.0,0.841,0.159,0.278
50,ESSC,6,0.0,0.839,0.161,0.437
51,AMD,6,0.083,0.716,0.201,0.117
52,GGPI,6,0.027,0.737,0.236,0.371
53,ALZN,6,0.019,0.817,0.164,0.333
54,UK,6,0.034,0.873,0.093,0.083
55,MEME,6,0.013,0.879,0.108,0.348
56,PLBY,6,0.057,0.766,0.177,0.268
