,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
0,GME,182,0.073,0.796,0.131,0.106
1,AMC,67,0.112,0.794,0.094,0.003
2,SPY,65,0.134,0.721,0.144,0.024
3,HOOD,60,0.135,0.746,0.119,-0.086
4,TSLA,46,0.093,0.684,0.223,0.171
5,DD,43,0.085,0.811,0.104,0.031
6,MSFT,27,0.078,0.786,0.136,0.087
7,NG,24,0.054,0.795,0.151,0.113
8,YOU,19,0.184,0.687,0.129,-0.111
9,AAPL,17,0.078,0.632,0.29,0.203
10,IS,17,0.054,0.812,0.135,0.179
11,AMD,15,0.053,0.792,0.155,0.15
12,NFLX,14,0.172,0.774,0.053,-0.175
13,BB,14,0.027,0.91,0.063,0.083
14,PTON,14,0.097,0.798,0.105,0.034
15,QQQ,14,0.071,0.821,0.107,0.114
16,TA,14,0.08,0.778,0.142,0.118
17,UP,13,0.104,0.781,0.115,0.089
18,JP,13,0.099,0.675,0.226,0.123
19,PLTR,11,0.181,0.747,0.072,-0.233
20,SNDL,11,0.046,0.735,0.219,0.375
21,MNMD,11,0.014,0.784,0.202,0.353
22,ON,11,0.068,0.811,0.121,0.104
23,INTC,10,0.133,0.75,0.117,-0.129
24,RH,10,0.212,0.674,0.114,-0.261
25,DWAC,10,0.017,0.723,0.261,0.389
26,TS,10,0.007,0.973,0.02,0.082
27,FOMC,9,0.049,0.877,0.074,-0.004
28,WE,9,0.057,0.785,0.158,0.235
29,TLRY,9,0.021,0.782,0.198,0.357
30,FOR,9,0.137,0.74,0.123,0.047
31,IT,8,0.109,0.775,0.116,0.007
32,QS,8,0.053,0.864,0.083,0.068
33,ME,7,0.012,0.81,0.178,0.218
34,NVDA,7,0.103,0.743,0.154,0.208
35,DTE,7,0.106,0.735,0.159,0.139
36,ING,7,0.064,0.742,0.194,0.12
37,NE,7,0.042,0.804,0.153,0.117
38,ST,7,0.15,0.807,0.042,-0.199
39,RS,7,0.087,0.636,0.277,0.289
40,BE,7,0.061,0.826,0.113,0.042
41,VS,7,0.085,0.798,0.117,0.066
42,NEW,7,0.037,0.863,0.101,0.124
43,UBER,6,0.0,0.728,0.272,0.563
44,ARK,6,0.033,0.91,0.057,0.079
45,WISH,6,0.065,0.67,0.264,0.179
46,NVAX,6,0.108,0.724,0.167,0.158
47,LCID,6,0.114,0.693,0.192,0.021
