,index,Mentions,Bearish,Neutral,Bullish,Total/Compound
0,FB,94,0.192,0.638,0.17,-0.019
1,GME,84,0.074,0.802,0.124,0.095
2,SNAP,42,0.131,0.704,0.165,0.043
3,AMZN,37,0.084,0.713,0.203,0.161
4,AMC,35,0.078,0.779,0.143,0.157
5,DD,29,0.065,0.796,0.139,0.241
6,SPY,27,0.086,0.755,0.159,0.079
7,TSLA,26,0.036,0.807,0.157,0.159
8,AMD,24,0.076,0.777,0.147,0.114
9,PYPL,18,0.084,0.772,0.143,0.162
10,GOOGL,18,0.012,0.869,0.119,0.15
11,SPOT,16,0.181,0.615,0.204,0.034
12,PTON,16,0.076,0.716,0.208,0.256
13,ON,15,0.186,0.678,0.136,-0.009
14,IS,12,0.087,0.854,0.059,-0.18
15,NOW,11,0.067,0.669,0.265,0.298
16,SNDL,10,0.02,0.749,0.231,0.132
17,MMNFF,10,0.055,0.526,0.419,0.603
18,FOR,9,0.057,0.691,0.252,0.146
19,WISH,8,0.0,0.596,0.404,0.417
20,SPCE,8,0.12,0.766,0.114,-0.098
21,ALL,8,0.124,0.692,0.184,-0.053
22,QQQ,8,0.139,0.731,0.131,-0.015
23,MTCH,8,0.289,0.655,0.055,-0.378
24,YOU,8,0.1,0.68,0.22,0.151
25,RDBX,8,0.111,0.632,0.257,0.125
26,BBIG,7,0.028,0.849,0.123,0.116
27,IT,7,0.132,0.631,0.236,0.015
28,FREE,7,0.033,0.53,0.436,0.524
29,UPS,7,0.248,0.628,0.124,-0.066
30,NG,6,0.06,0.789,0.151,0.074
31,UP,6,0.124,0.672,0.203,0.072
32,NS,6,0.029,0.888,0.083,0.131
33,PLTR,6,0.058,0.793,0.149,0.25
34,BOX,6,0.032,0.825,0.143,0.46
35,ING,6,0.145,0.762,0.093,-0.201
36,ATVI,6,0.182,0.609,0.208,0.129
37,WDLF,6,0.0,0.752,0.248,0.947
38,HUGE,6,0.0,0.752,0.248,0.947
39,PHIL,6,0.0,0.752,0.248,0.947
40,HOOD,6,0.122,0.806,0.071,-0.07
41,SDC,6,0.083,0.663,0.254,0.188
42,BEST,6,0.093,0.489,0.418,0.529
43,SQ,6,0.05,0.774,0.176,0.35
44,GM,5,0.055,0.925,0.02,-0.042
45,NEW,5,0.026,0.883,0.09,0.205
46,DS,5,0.157,0.543,0.3,0.368
47,EL,5,0.04,0.85,0.109,0.333
48,UK,5,0.116,0.785,0.099,0.162
49,WE,5,0.238,0.559,0.204,-0.151
50,GO,5,0.0,0.83,0.17,0.3
51,SOFI,5,0.038,0.669,0.293,0.205
52,DIDI,5,0.107,0.836,0.056,-0.328
53,DWAC,5,0.0,0.838,0.162,0.127
54,IBKR,5,0.077,0.844,0.08,0.128
55,NEXT,5,0.148,0.768,0.085,0.087
56,MVST,5,0.0,0.841,0.159,0.195
57,TA,5,0.0,0.9,0.1,0.144
58,GTE,5,0.0,0.902,0.098,0.149
59,PINS,5,0.143,0.731,0.127,-0.068
60,PM,4,0.067,0.878,0.055,0.035
61,DKNG,4,0.089,0.589,0.321,0.296
62,KSCP,4,0.0,1.0,0.0,0.0
63,BB,4,0.0,0.86,0.14,0.267
64,USA,4,0.205,0.758,0.036,-0.236
65,GET,4,0.0,0.833,0.168,0.308
66,ARK,4,0.027,0.876,0.097,0.167
67,SIRI,4,0.145,0.639,0.215,0.039
68,MEME,4,0.0,0.907,0.092,0.181
69,AAPL,4,0.05,0.633,0.317,0.431
70,NVAX,4,0.089,0.782,0.129,0.155
71,GOOG,4,0.0,0.822,0.178,0.18
72,OR,4,0.048,0.905,0.047,-0.019
73,NIO,4,0.248,0.753,0.0,-0.34
74,RIG,4,0.107,0.67,0.223,0.35
75,OIL,4,0.0,0.686,0.314,0.556
76,TOP,3,0.152,0.801,0.047,-0.173
77,CLOV,3,0.0,0.718,0.282,0.419
78,WEN,3,0.0,0.81,0.19,0.471
79,TKLF,3,0.267,0.733,0.0,-0.196
80,CAN,3,0.153,0.666,0.18,0.12
81,PENN,3,0.208,0.792,0.0,-0.239
82,TRIT,3,0.0,0.912,0.088,0.144
83,RSI,3,0.0,0.519,0.481,0.47
84,AI,3,0.0,1.0,0.0,0.0
85,BIRD,3,0.0,1.0,0.0,0.0
86,PETZ,3,0.0,0.968,0.032,0.156
87,OG,3,0.033,0.84,0.127,0.105
88,AFRM,3,0.238,0.559,0.203,0.056
89,XOM,3,0.0,1.0,0.0,0.0
90,RH,3,0.035,0.841,0.124,0.177
91,BIG,3,0.0,0.837,0.163,0.287
92,BE,3,0.064,0.815,0.121,0.05
93,ANY,3,0.0,0.654,0.346,0.487
94,MSFT,3,0.0,0.966,0.034,0.059
95,EPZM,3,0.0,0.949,0.051,0.267
96,BULL,3,0.0,0.356,0.644,0.789
97,LFG,3,0.0,0.936,0.064,0.158
98,VTRS,3,0.0,0.792,0.208,0.477
99,ABBV,3,0.0,0.792,0.208,0.477
100,TWTR,3,0.186,0.708,0.106,0.05
101,MNMD,3,0.0,1.0,0.0,0.0
102,ECAT,3,0.0,1.0,0.0,0.0
103,NFLX,3,0.016,0.71,0.274,0.503
104,RMED,3,0.0,0.792,0.208,0.239
105,TD,3,0.0,0.903,0.097,0.197
106,THG,3,0.1,0.737,0.163,0.142
107,GMVD,2,0.0,0.625,0.375,0.637
108,BBBY,2,0.0,1.0,0.0,0.0
109,OPEN,2,0.0,1.0,0.0,0.0
110,AM,2,0.229,0.772,0.0,-0.361
111,ST,2,0.0,0.598,0.402,0.572
112,JP,2,0.0,0.825,0.175,0.41
113,TS,2,0.0,1.0,0.0,0.0
114,IP,2,0.156,0.844,0.0,-0.359
115,BYND,2,0.086,0.583,0.332,0.558
116,AN,2,0.054,0.651,0.295,0.669
